,date,location,C8_International travel controls,residential_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,C8_International travel controls_high,C8_International travel controls_low,residential_percent_change_from_baseline_high,residential_percent_change_from_baseline_low,grocery_and_pharmacy_percent_change_from_baseline_high,grocery_and_pharmacy_percent_change_from_baseline_low
48,2020-11-15,India,0.0,9.8144,6.861301369863014,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
49,2020-11-15,Ireland,-2.0,11.625,-11.307692307692308,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
50,2020-11-15,Iraq,0.0,3.0,37.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
51,2020-11-15,Israel,0.0,13.0,-1.1578947368421053,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
52,2020-11-15,Italy,0.0,15.039370078740157,-43.86614173228347,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
53,2020-11-15,Jamaica,-2.0,5.4,-18.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
54,2020-11-15,Jordan,-2.0,6.8,24.5,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
55,2020-11-15,Japan,-3.0,1.9791666666666667,5.104166666666667,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
56,2020-11-15,Kazakhstan,-3.0,2.0,-18.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
57,2020-11-15,Kenya,-1.0,9.071428571428571,0.4375,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
58,2020-11-15,Cambodia,0.0,9.571428571428571,-13.083333333333334,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
59,2020-11-15,South Korea,0.0,0.5,16.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
60,2020-11-15,Kuwait,0.0,9.875,-16.125,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
61,2020-11-15,Laos,-2.0,5.0,-1.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
62,2020-11-15,Lebanon,0.0,11.666666666666666,-37.95454545454545,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
63,2020-11-15,Libya,-3.0,-0.25,51.333333333333336,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
64,2020-11-15,Sri Lanka,-2.0,22.0,-33.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
65,2020-11-15,Lithuania,-2.0,2.875,10.058823529411764,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
66,2020-11-15,Luxembourg,-3.0,7.0,-9.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
67,2020-11-15,Latvia,-2.0,2.5,-15.6,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
68,2020-11-15,Morocco,0.0,11.25,-3.75,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
69,2020-11-15,Moldova,-3.0,-8.0,4.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
70,2020-11-15,Mexico,-1.0,4.181818181818182,-2.727272727272727,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
71,2020-11-15,Mali,0.0,1.5,-14.5,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
72,2020-11-15,Mongolia,-4.0,24.0,-22.5,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
73,2020-11-15,Mozambique,0.0,3.6666666666666665,-11.166666666666666,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
74,2020-11-15,Mauritius,-2.0,2.25,-5.375,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
75,2020-11-15,Malaysia,-4.0,17.58823529411765,-16.705882352941178,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
76,2020-11-15,Niger,-2.0,-1.3333333333333333,-6.333333333333333,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
77,2020-11-15,Nigeria,-2.0,5.028985507246377,-9.1,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
78,2020-11-15,Nicaragua,-1.0,4.6,8.625,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
79,2020-11-15,Netherlands,0.0,6.549295774647887,-16.056451612903224,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
80,2020-11-15,Norway,-2.0,5.5,-12.714285714285714,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
81,2020-11-15,Nepal,0.0,13.0,1.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
82,2020-11-15,New Zealand,-4.0,1.8181818181818181,-1.6428571428571428,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
83,2020-11-15,Oman,-2.0,3.5,-17.6,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
84,2020-11-15,Pakistan,-2.0,2.4210526315789473,0.8888888888888888,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
85,2020-11-15,Panama,-1.0,16.0,-28.5,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
