Country,Date,Sentiment Score,Positive,Negative
ES,2020-03-26,0.07881250000000001,4,1
NG,2020-03-26,0.11297957154716982,44,9
ZA,2020-03-26,0.09210394966666666,15,3
PK,2020-03-26,0.04881628775000001,6,2
BE,2020-03-26,0.05435606066666667,2,1
CN,2020-03-27,-0.1049242425,1,1
JM,2020-03-27,-0.4464285715,1,1
IN,2020-03-27,0.13841759383333335,101,13
NG,2020-03-27,0.1696409669787233,43,4
MY,2020-03-27,0.11036931816666667,4,2
AU,2020-03-27,0.2073378010769231,11,2
CA,2020-03-27,0.0477982955,14,6
ZA,2020-03-27,0.13558023842105263,15,4
ID,2020-03-27,0.1853357753846154,12,1
GB,2020-03-27,0.13026697792207792,63,14
EG,2020-03-27,0.009999999999999998,4,1
US,2020-03-27,0.12466938658938535,303,55
GH,2020-03-27,0.1168912338,8,2
ES,2020-03-27,0.0050925927499999996,3,1
NZ,2020-03-27,0.05246212099999999,3,1
IE,2020-03-27,-0.16666666666666666,2,1
AE,2020-03-27,0.09359375,9,1
DE,2020-03-27,0.25494308521428566,13,1
PK,2020-03-28,-0.13106060609090908,8,3
AU,2020-03-28,0.12465499284210528,15,4
CW,2020-03-28,-0.2,1,1
BD,2020-03-28,-0.0875,3,1
BE,2020-03-28,-0.012499999999999997,1,1
DE,2020-03-28,0.10726046173333334,12,3
US,2020-03-28,0.12454513269278983,264,55
AT,2020-03-28,0.117361111,1,1
ZA,2020-03-28,0.13303703706666667,12,3
FR,2020-03-28,-0.09999999999999999,1,2
AE,2020-03-28,0.13897146066666666,8,1
NL,2020-03-28,0.13958859425000003,13,3
IE,2020-03-28,0.24602272725,3,1
SE,2020-03-28,0.046920635,4,1
PH,2020-03-28,0.193923611125,7,1
NG,2020-03-28,0.20410108268292682,35,6
GB,2020-03-28,0.0860063313483146,72,17
KE,2020-03-28,0.14583333333333334,8,1
QA,2020-03-28,0.1961309525,1,1
IT,2020-03-28,0.19,3,1
IN,2020-03-28,0.2001303214351852,99,9
DK,2020-03-28,-0.025,1,1
SG,2020-03-28,0.1541666665,1,1
FR,2020-03-30,0.06475694433333333,2,1
ZA,2020-03-30,0.16353271675,11,1
CA,2020-03-30,0.12780032464285715,10,4
GB,2020-03-30,0.16942304644444442,36,9
GH,2020-03-30,0.03214285714285714,6,1
PK,2020-03-30,0.129992785,4,1
DE,2020-03-30,0.035901988625,7,1
SA,2020-03-30,-0.175,1,1
AE,2020-03-30,0.1532738095,3,1
ID,2020-03-30,0.12512987012500001,7,1
NG,2020-03-30,0.2007147192307692,24,2
IN,2020-03-30,0.23371014294915252,53,6
ES,2020-03-30,-0.175,3,1
NL,2020-03-30,0.1103392857,8,2
TR,2020-03-30,0.1499555556,4,1
US,2020-03-30,0.1320377450557768,215,36
AU,2020-03-30,0.17174036271428572,6,1
CA,2020-03-31,0.038922619000000006,7,3
DE,2020-03-31,0.028545217875,12,4
IN,2020-03-31,0.13444967918867926,99,7
PK,2020-03-31,0.05785901344444444,6,3
AU,2020-03-31,0.10469556677777776,8,1
